Diskusi dengan Kemenkeu
29 Juli 2025

1.	Paparan Bu Nani:
a.	Pasal 5 ayat (3):
i.	Perlu antisipasi untuk SKB
ii.	Kita pengen denger juga dari KBUMN
b.	Pasal 17:
i.	Kompensasi apabila dalam pelaksanaan kerja sama, ketersediaan sampah tidak memenuhi ketentuan
c.	Pasal 20
i.	Skema kompensasi penugasan ke PLN
d.	Pasal 19
i.	Skema pembelian listrik oleh ESDM
e.	Pasal 19 
2.	Dalam kontrak 30 tahun, setelah itu pemda bisa mejalankan secara mandiri. Harus ada Upaya yang agak memaksa pemda mengeluarkan effort menyiapkan diri agar dijalankan mandiri setelah proyek psel ini selesai. Ini opsinya:
a.	Built Operate Transfer (BOT)
b.	Built Own Operate Transfer (BOOT)
c.	Built Own Operate (BOO)
3.	Diskusi:
a.	Perlu kepastian pengaturan mekanisme subsidi dan komepensasi atas penugasan pembelian harga listrik oleh pln
b.	Perlu insturmen kebijakan dukungan pemerintah pusat untuk pendaan psel yang bersmber dari APBN, termasuk pembinaan dan pengawasannya
c.	Bentuk dukungan lain dari pemerintah pusat (Kemenkeu) berupa insentif bagi daerah untuk penguatan kapasitas pengelolaan sampah di hulu
4.	Kemenkeu:
a.	Ada bbrp perubahan dan mgkn kita perlu diinternal membicarakan ini secara internal dulu
b.	Minggu depan kitab isa jadwalkan
c.	Memang ada beberapa concerned kami, waktu mendesain ini khan tanggung jawab pemda. Tapi kita merasa daearh ini ga care atau ga pny pendanaan, pemerintah pusat memutuskan untuk membantu pengelolaan sampah di daearh. Perpres 35 tahun 2018. Ini diperbaiki. Minta bantuan BLPS pun belum jadi juga. Dimasukkan ke komponen biaya, 
d.	Ada ambil kompensasi, perubahan di APBN. Kenapa ada pembedaan 20 MW harus fixed 20 cent? Kita khan bicara jangka Panjang, ada perubahan teknologi, kalau di fix kan 20 cent, nanti ke kunci di 20 cent. Jangan dikunci 20 cent
e.	Kalau ada perubahan teknologi gimana. 
f.	Kalau pengen kepastian a ada negosiasi, kita bicara perpres ini akan terkunci APBN akan terkunci. Saya kepengennya maksimum 20 cent. Kalau range juga masih oke.
g.	Posisi kemenkeu: ceiling 20 cent
5.	Kemenkeu:
a.	Perpres cukup tidak perlu SKB 3 menteri. Nanti ada prosedur administrasi lagi, skb lagi.
b.	
6.	Kemenkeu (Tyo):
